Address,City,State,Zip,CASS_Results,RecordNum,UNITID,INSTNM,Zip Code,GEO_GeoLevel,GEO_MatchStatus,GEO_Score,GEO_Latitude,GEO_Longitude,GEO_FirstLine,GEO_LastLine,CASS_Address,CASS_AddressPlusSuite,CASS_CarrierRoute,CASS_City,CASS_DeliveryPointCheckDigit,CASS_DeliveryPointCode,CASS_ErrorCode,CASS_LastLine,CASS_Plus4,CASS_State,CASS_StatusCode,CASS_ZIP,Z9_Census_BLOCK,Z9_Census_ID,Z9_Census_TRACT,Z9_County_FIPS,Z9_Latitude,Z9_Longitude,Z9_Match_Code,Z9_Record_Type,Z9_State_FIPS,GEO_City,GEO_Province,GEO_PostalCode,GEO_HouseNumber,GEO_StreetPreDir,GEO_StreetPreType,GEO_StreetName,GEO_StreetPostType,GEO_StreetPostDir,GEO_UnitDesignator,GEO_UnitNumber,GEO_StateAbbrev,GEO_CensusId,GEO_ClusterLevelID,GEO_IntersectingHouseNumber,GEO_IntersectingStreetPreDir,GEO_IntersectingStreetPreType,GEO_IntersectingStreetName,GEO_IntersectingStreetPostType,GEO_IntersectingStreetPostDir,GEO_MFPreDirChanged,GEO_MFStreetNameChanged,GEO_MFStreetPreChanged,GEO_MFStreetPostChanged,GEO_MFPostDirChanged,GEO_MFUnitDesAssumed,GEO_MFAddNumberOutOfRange,GEO_MFAddLetterMovedToUnitNum,GEO_MFEvenOddAddDiffer,GEO_MFSuppliedCity,GEO_MFSuppliedState,GEO_MFSuppliedPostCode,GEO_MFCityChanged,GEO_MFStateChanged,GEO_MFPostCodeChanged,GEO_MFUsedCityAlias,CASS_AddressRange,CASS_AddressTypeCode,CASS_AddressTypeString,CASS_CityAbbreviation,CASS_CMRA,CASS_CongressionalDistrict,CASS_CountyFIPS,CASS_CountyName,CASS_ErrorString,CASS_EWSFlag,CASS_LACS,CASS_MSA,CASS_PMSA,CASS_PostDirection,CASS_PreDirection,CASS_PrivateMailbox,CASS_PrivateMailboxName,CASS_PrivateMailboxNumber,CASS_StreetName,CASS_Suffix,CASS_Suite,CASS_SuiteName,CASS_SuiteRange,CASS_SuiteStatus,CASS_TimeZone,CASS_TimeZoneCode,CASS_Urbanization,CASS_ZIPType
4010 Gaston Avenue,Dallas,TX,75246-1537,"AE09,AS02",5001,475608,Criswell College,75246-1537,Actual,Match,100.0,32.793692,-96.778073,4010 GASTON AVE,"DALLAS, TX 75246",4010 Gaston Ave,4010 Gaston Ave,C010,Dallas,9,99," ","Dallas, TX 75246-1585",1585,TX,V,75246,,,,,,,,,,,TX,75246,4010,"","",GASTON,AVE,"","","",TX,481130022002000,481130022002000,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4010,H,Highrise,Dallas,N,30,48113,Dallas,No Error," "," ","","","","","","","",Gaston,Ave,"","","",M,Central Time,06,""," "
5003 North Broadway Street,Knoxville,TN,37918-2472,AS01,5002,475617,Virginia College-Knoxville,37918-2472,Actual,Match,100.0,36.02998,-83.930679,5003 N BROADWAY ST,"KNOXVILLE, TN 37918",5003 N Broadway St,5003 N Broadway St,C059,Knoxville,9,03," ","Knoxville, TN 37918-2341",2341,TN,V,37918,,,,,,,,,,,TN,37918,5003,N,"",BROADWAY,ST,"","","",TN,470930041002008,470930041002008,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5003,S,Street,Knoxville,N,02,47093,Knox,No Error," "," ","","","",N,"","","",Broadway,St,"","","",V,Eastern Time,05,""," "
5700 Wilshire Blvd Ste 275,Los Angeles,CA,90036-3687,"AS01,AS16",5003,475635,Academy of Couture Art,90036-3687,Street,Exact,100.0,34.062192976983,-118.352586616033,5700 WILSHIRE BLVD STE 275,"LOS ANGELES, CA 90036",5700 Wilshire Blvd,5700 Wilshire Blvd Ste 275,C056,Los Angeles,3,50," ","Los Angeles, CA 90036-3687",3687,CA,V,90036,,,,,,,,,,LOS ANGELES,CA,90036,5700,"","",WILSHIRE,BLVD,"",STE,275,CA,060372163001001,060372163001001,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5700,H,Highrise,Los Angeles,N,37,06037,Los Angeles,No Error," "," ","","","","","","","",Wilshire,Blvd,Ste 275,Ste,275,V,Pacific Time,08,""," "
190 Montrose West Avenue,Copley,OH,44321-2798,AS01,5004,475699,Bryant & Stratton College-Akron,44321-2798,Actual,Match,100.0,41.12821,-81.654878,190 MONTROSE WEST AVE,"COPLEY, OH 44321",190 Montrose West Ave,190 Montrose West Ave,C007,Copley,4,90," ","Copley, OH 44321-1372",1372,OH,V,44321,,,,,,,,,,,OH,44321,190,"","",MONTROSE WEST,AVE,"","","",OH,391535335012015,391535335012015,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,190,S,Street,Copley,N,16,39153,Summit,No Error," "," ","","","","","","","",Montrose West,Ave,"","","",V,Eastern Time,05,""," "
12215 SW 112 Street,Miami,FL,33186-4830,AS01,5005,475714,American Medical Academy,33186-4830,Street,Exact,100.0,25.6619796271857,-80.3934231990722,12215 SW 112TH ST,"MIAMI, FL 33186",12215 SW 112th St,12215 SW 112th St,C005,Miami,8,15," ","Miami, FL 33186-4830",4830,FL,V,33186,,,,,,,,,,MIAMI,FL,33186,12215,SW,"",112TH,ST,"","","",FL,120860192001000,120860192001000,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12215,S,Street,Miami,N,26,12086,Miami-Dade,No Error," "," ","","","",SW,"","","",112th,St,"","","",V,Eastern Time,05,""," "
"5775 Peachtree Dunwoody Road, NE, Suite A100",Atlanta,GA,30342-1556,"AC04,AS01",5006,475732,Chamberlain College of Nursing-Georgia,30342-1556,Street,Exact,93.7,33.9123228558925,-84.3525288772842,5775 PEACHTREE DUNWOODY RD NE BLDG A100,"ATLANTA, GA 30342",5775 Peachtree Dunwoody Rd,5775 Peachtree Dunwoody Rd Bldg A100,C006,Atlanta,6,10," ","Atlanta, GA 30342-1505",1505,GA,V,30342,,,,,,,,,,ATLANTA,GA,30342,5775,"","",PEACHTREE DUNWOODY,RD,NE,BLDG,A100,GA,131210101151004,131210101151004,"","","","","","",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5775,H,Highrise,Atlanta,N,11,13121,Fulton,No Error," "," ","","","","","","","",Peachtree Dunwoody,Rd,Bldg A100,Bldg,A100,V,Eastern Time,05,""," "
"9100 Keystone Crossing, Suite 600",Indianapolis,IN,46240-2158,AS01,5007,475741,Chamberlain College of Nursing-Indiana,46240-2158,Street,Exact,100.0,39.918835,-86.110908801529,9100 KEYSTONE XING STE 600,"INDIANAPOLIS, IN 46240",9100 Keystone Xing,9100 Keystone Xing Ste 600,C040,Indianapolis,9,50," ","Indianapolis, IN 46240-2161",2161,IN,V,46240,,,,,,,,,,INDIANAPOLIS,IN,46240,9100,"","",KEYSTONE,XING,"",STE,600,IN,180973202043001,180973202043001,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9100,H,Highrise,Indianapolis,N,05,18097,Marion,No Error," "," ","","","","","","","",Keystone,Xing,Ste 600,Ste,600,V,Eastern Time,05,""," "
"350 S. Mill Avenue, Suite B-104",Tempe,AZ,85281,"AE08,AS02",5008,475839,Sessions College for Professional Design,85281,Street,Exact,100.0,33.4269292927251,-111.940209199334,350 S MILL AVE STE B-104,"TEMPE, AZ 85281",350 S Mill Ave,350 S Mill Ave Ste B-104,C001,Tempe,9,99," ","Tempe, AZ 85281-2863",2863,AZ,V,85281,,,,,,,,,,TEMPE,AZ,85281,350,S,"",MILL,AVE,"",STE,B-104,AZ,040133187002014,040133187002014,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,350,H,Highrise,Tempe,N,09,04013,Maricopa,No Error," "," ","","","",S,"","","",Mill,Ave,Ste B-104,Ste,B-104,R,Mountain Time,07,""," "
2950 East Texas Street,Bossier City,LA,71111,"AE09,AS02",5009,475866,Virginia College-Shreveport/Bossier City,71111,Actual,Match,100.0,32.525773,-93.7064148,2950 E TEXAS ST,"BOSSIER CITY, LA 71111",2950 E Texas St,2950 E Texas St,C011,Bossier City,5,99," ","Bossier City, LA 71111-3265",3265,LA,V,71111,,,,,,,,,,,LA,71111,2950,E,"",TEXAS,ST,"","","",LA,220150106022000,220150106022000,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2950,H,Highrise,Bossier City,N,04,22015,Bossier,No Error," "," ","","","",E,"","","",Texas,St,"","","",M,Central Time,06,""," "
9000 West Chester Street,Milwaukee,WI,53214-1373,"AE09,AS02",5010,475875,Strayer University-Wisconsin,53214-1373,Actual,Match,100.0,43.028897,-88.024528,9000 W CHESTER ST,"MILWAUKEE, WI 53214",9000 W Chester St,9000 W Chester St,C037,Milwaukee,4,99," ","Milwaukee, WI 53214-1372",1372,WI,V,53214,,,,,,,,,,,WI,53214,9000,W,"",CHESTER,ST,"","","",WI,550790128002000,550790128002000,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9000,H,Highrise,Milwaukee,N,04,55079,Milwaukee,No Error," "," ","","","",W,"","","",Chester,St,"","","",M,Central Time,06,""," "
9025 N. River Road,Indianapolis,IN,46240-6443,"AC12,AE09,AS02",5011,475884,Strayer University-Indiana,46240-6443,Actual,Match,100.0,39.918285,-86.096426,9025 RIVER RD,"INDIANAPOLIS, IN 46240",9025 River Rd,9025 River Rd,C035,Indianapolis,6,99," ","Indianapolis, IN 46240-2198",2198,IN,V,46240,,,,,,,,,,,IN,46240,9025,"","",RIVER,RD,"","","",IN,180973202042001,180973202042001,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9025,H,Highrise,Indianapolis,N,05,18097,Marion,No Error," "," ","","","","","","","",River,Rd,"","","",M,Eastern Time,05,""," "
3 Point Place,Madison,WI,53719-2848,"AE09,AS02",5012,476072,Herzing University,53719-2848,Street,Exact,100.0,43.0557828927587,-89.5152236084797,3 POINT PL,"MADISON, WI 53719",3 Point Pl,3 Point Pl,C045,Madison,5,99," ","Madison, WI 53719-2848",2848,WI,V,53719,,,,,,,,,,MADISON,WI,53719,3,"","",POINT,PL,"","","",WI,550250004051019,550250004051019,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,H,Highrise,Madison,N,02,55025,Dane,No Error," "," ","","","","","","","",Point,Pl,"","","",M,Central Time,06,""," "
2800 Corporate Exchange Parkway,Columbus,OH,43231-7661,"AC11,AE09,AS02",5013,476203,Sanford-Brown College-Columbus,43231-7661,Actual,Match,100.0,40.103196,-82.942752,2800 CORPORATE EXCHANGE DR,"COLUMBUS, OH 43231",2800 Corporate Exchange Dr,2800 Corporate Exchange Dr,C060,Columbus,9,99," ","Columbus, OH 43231-7661",7661,OH,V,43231,,,,,,,,,,,OH,43231,2800,"","",CORPORATE EXCHANGE,DR,"","","",OH,390490071143009,390490071143009,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2800,H,Highrise,Columbus,N,03,39049,Franklin,No Error," "," ","","","","","","","",Corporate Exchange,Dr,"","","",M,Eastern Time,05,""," "
1026 Maxwell Street,Colorado Springs,CO,80906-5554,AS01,5014,476319,CollegeAmerica Denver,80906-5554,Actual,Match,100.0,38.774828,-104.780989,1026 MAXWELL ST,"COLORADO SPRINGS, CO 80906",1026 Maxwell St,1026 Maxwell St,C037,Colorado Springs,0,26," ","Colorado Springs, CO 80906-5554",5554,CO,V,80906,,,,,,,,,,,CO,80906,1026,"","",MAXWELL,ST,"","","",CO,080410045012034,080410045012034,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1026,S,Street,Colorado Spgs,N,05,08041,El Paso,No Error," "," ","","","","","","","",Maxwell,St,"","","",V,Mountain Time,07,""," "
"1861 Valley View Lane, Suite 100",Farmers Branch,TX,75234-8906,AS01,5015,476337,Golf Academy of America-Farmers Branch,75234-8906,Street,Exact,100.0,32.9211154102929,-96.9176858102695,1861 VALLEY VIEW LN STE 100,"FARMERS BRANCH, TX 75234",1861 Valley View Ln,1861 Valley View Ln Ste 100,C010,Farmers Branch,9,61," ","Farmers Branch, TX 75234-8906",8906,TX,V,75234,,,,,,,,,,FARMERS BRANCH,TX,75234,1861,"","",VALLEY VIEW,LN,"",STE,100,TX,481130140021052,481130140021052,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1861,S,Street,Farmers Brnch,N,24,48113,Dallas,No Error," "," ","","","","","","","",Valley View,Ln,Ste 100,Ste,100,V,Central Time,06,""," "
2601 South Military Trail,West Palm Beach,FL,33415-7510,"AE09,AS02",5016,476382,Dade Medical College,33415-7510,Actual,Match,100.0,26.639031,-80.114369,2601 S MILITARY TRL,"WEST PALM BEACH, FL 33415",2601 S Military Trl,2601 S Military Trl,C029,West Palm Beach,3,99," ","West Palm Beach, FL 33415-7510",7510,FL,V,33415,,,,,,,,,,,FL,33415,2601,S,"",MILITARY,TRL,"","","",FL,120990040131000,120990040131000,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2601,H,Highrise,West Palm Bch,N,21,12099,Palm Beach,No Error," "," ","","","",S,"","","",Military,Trl,"","","",M,Eastern Time,05,""," "
9550 Regency Square Boulevard,Jacksonville,FL,32225-8116,"AE09,AS02",5017,476391,Dade Medical College,32225-8116,Actual,Match,100.0,30.325622,-81.550065,9550 REGENCY SQUARE BLVD,"JACKSONVILLE, FL 32225",9550 Regency Square Blvd,9550 Regency Square Blvd,C049,Jacksonville,2,99," ","Jacksonville, FL 32225-8116",8116,FL,V,32225,,,,,,,,,,,FL,32225,9550,"","",REGENCY SQUARE,BLVD,"","","",FL,120310146041030,120310146041030,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9550,H,Highrise,Jacksonville,N,04,12031,Duval,No Error," "," ","","","","","","","",Regency Square,Blvd,"","","",M,Eastern Time,05,""," "
6823 Old Pimlico Road,Baltimore,MD,21209-1613,AS01,5018,476601,Bais HaMedrash and Mesivta of Baltimore,21209-1613,Actual,Match,100.0,39.379682,-76.674589,6823 OLD PIMLICO RD,"BALTIMORE, MD 21209",6823 Old Pimlico Rd,6823 Old Pimlico Rd,C010,Baltimore,0,23," ","Baltimore, MD 21209-1613",1613,MD,V,21209,,,,,,,,,,,MD,21209,6823,"","",OLD PIMLICO,RD,"","","",MD,240054036022004,240054036022004,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6823,S,Street,Baltimore,N,03,24005,Baltimore,No Error," "," ","","","","","","","",Old Pimlico,Rd,"","","",V,Eastern Time,05,""," "
1000 Orchard Terrace,Linden,NJ,07036-3905,AS01,5019,476692,Yeshiva Gedolah Zichron Leyma,07036-3905,Street,Exact,100.0,40.6366194607351,-74.2654468668139,1000 ORCHARD TER,"LINDEN, NJ 07036",1000 Orchard Ter,1000 Orchard Ter,C022,Linden,7,00," ","Linden, NJ 07036-3905",3905,NJ,V,07036,,,,,,,,,,LINDEN,NJ,07036,1000,"","",ORCHARD,TER,"","","",NJ,340390348004014,340390348004014,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1000,S,Street,Linden,N,10,34039,Union,No Error," "," ","","","","","","","",Orchard,Ter,"","","",V,Eastern Time,05,""," "
12 Jefferson Avenue,Spring Valley,NY,10977-1912,AS01,5020,476717,"Be'er Yaakov Talmudic Seminary",10977-1912,Street,Exact,100.0,41.1392936053999,-74.0285288654059,12 JEFFERSON AVE,"SPRING VALLEY, NY 10977",12 Jefferson Ave,12 Jefferson Ave,C026,Spring Valley,0,12," ","Spring Valley, NY 10977-1912",1912,NY,V,10977,,,,,,,,,,SPRING VALLEY,NY,10977,12,"","",JEFFERSON,AVE,"","","",NY,360870115051000,360870115051000,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,S,Street,Spring Valley,N,17,36087,Rockland,No Error," "," ","","","","","","","",Jefferson,Ave,"","","",V,Eastern Time,05,""," "
215 Peachtree Street,Atlanta,GA,30303-1736,"AC12,AE09,AS02",5021,476948,SAE Institute of Technology-Atlanta,30303-1736,Actual,Match,100.0,33.759922,-84.387158,215 PEACHTREE ST NE,"ATLANTA, GA 30303",215 Peachtree St NE,215 Peachtree St NE,C027,Atlanta,9,99," ","Atlanta, GA 30303-1779",1779,GA,V,30303,,,,,,,,,,,GA,30303,215,"","",PEACHTREE,ST,NE,"","",GA,131210019002057,131210019002057,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,215,H,Highrise,Atlanta,N,05,13121,Fulton,No Error," "," ","","",NE,"","","","",Peachtree,St,"","","",M,Eastern Time,05,""," "
8000 East Maplewood Avenue,Greenwood Village,CO,80111-0000,"AE09,AS02",5022,476975,Colorado State University-Global Campus,80111-0000,Actual,Match,100.0,39.604506,-104.896399,8000 E MAPLEWOOD AVE,"GREENWOOD VILLAGE, CO 80111",8000 E Maplewood Ave,8000 E Maplewood Ave,C036,Greenwood Village,8,99," ","Greenwood Village, CO 80111-4766",4766,CO,V,80111,,,,,,,,,,,CO,80111,8000,E,"",MAPLEWOOD,AVE,"","","",CO,080050067122012,080050067122012,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8000,H,Highrise,Greenwood Vlg,N,06,08005,Arapahoe,No Error," "," ","","","",E,"","","",Maplewood,Ave,"","","",M,Mountain Time,07,""," "
6465 Wayzata Blvd.,St. Louis Park,MN,55426-1723,"AE09,AS02",5023,477011,Strayer University-Minnesota,55426-1723,Street,Exact,100.0,44.9705954435447,-93.361575797644,6465 WAYZATA BLVD,"SAINT LOUIS PARK, MN 55426",6465 Wayzata Blvd,6465 Wayzata Blvd,C019,Saint Louis Park,2,99," ","Saint Louis Park, MN 55426-1728",1728,MN,V,55426,,,,,,,,,,SAINT LOUIS PARK,MN,55426,6465,"","",WAYZATA,BLVD,"","","",MN,270530221012004,270530221012004,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6465,H,Highrise,St Louis Park,N,05,27053,Hennepin,No Error," "," ","","","","","","","",Wayzata,Blvd,"","","",M,Central Time,06,""," "
100 S. Wacker Drive,Chicago,IL,60606-4032,"AE09,AS02",5024,477020,Strayer University-Illinois,60606-4032,Actual,Match,100.0,41.880296,-87.63747,100 S WACKER DR,"CHICAGO, IL 60606",100 S Wacker Dr,100 S Wacker Dr,C018,Chicago,4,99," ","Chicago, IL 60606-4006",4006,IL,V,60606,,,,,,,,,,,IL,60606,100,S,"",WACKER,DR,"","","",IL,170318391002003,170318391002003,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100,H,Highrise,Chicago,N,07,17031,Cook,No Error," ",L,"","","",S,"","","",Wacker,Dr,"","","",M,Central Time,06,""," "
8435 North Stemmons Freeway,Dallas,TX,75247-3900,"AE09,AS02",5025,477039,West Coast University-Dallas,75247-3900,Actual,Match,100.0,32.827262,-96.873992,8435 N STEMMONS FWY,"DALLAS, TX 75247",8435 N Stemmons Fwy,8435 N Stemmons Fwy,C030,Dallas,5,99," ","Dallas, TX 75247-3900",3900,TX,V,75247,,,,,,,,,,,TX,75247,8435,N,"",STEMMONS,FWY,"","","",TX,481130100002137,481130100002137,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8435,H,Highrise,Dallas,N,33,48113,Dallas,No Error," "," ","","","",N,"","","",Stemmons,Fwy,"","","",M,Central Time,06,""," "
720 South River Road,St. George,UT,84790-2111,"AE09,AS02",5026,477950,Stevens Henager College,84790-2111,Actual,Match,100.0,37.083267,-113.5555089,720 S RIVER RD,"SAINT GEORGE, UT 84790",720 S River Rd,720 S River Rd,C014,Saint George,7,99," ","Saint George, UT 84790-5507",5507,UT,V,84790,,,,,,,,,,,UT,84790,720,S,"",RIVER,RD,"","","",UT,490532718002000,490532718002000,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,720,H,Highrise,Saint George,N,02,49053,Washington,No Error," "," ","","","",S,"","","",River,Rd,"","","",M,Mountain Time,07,""," "
3604 Summit Plaza Drive,Bellevue,NE,68123-1065,AS01,5027,477996,National  American University-Bellevue,68123-1065,Street,Exact,100.0,41.1411720391248,-95.9667377520267,3604 SUMMIT PLAZA DR,"BELLEVUE, NE 68123",3604 Summit Plaza Dr,3604 Summit Plaza Dr,R080,Bellevue,4,04," ","Bellevue, NE 68123-1065",1065,NE,V,68123,,,,,,,,,,BELLEVUE,NE,68123,3604,"","",SUMMIT PLAZA,DR,"","","",NE,311530102033022,311530102033022,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3604,S,Street,Bellevue,N,01,31153,Sarpy,No Error," "," ","","","","","","","",Summit Plaza,Dr,"","","",V,Central Time,06,""," "
