ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTNUM,ACTPCT,ACTWR25,ACTWR75,ACT_CODE,ADDR,ADMINURL,Academic/Career Counseling,Adjusted Bach Cohort - 150,Adjusted Bach Cohort - 200,Adjusted Cert Cohort - 150,Adjusted Cert Cohort - 200,Adjusted PT Prev Year Cohort,Admission Test Scores,Admissions - Men,Admissions - Women,Admissions Total,Alias,Applicants - Men,Applicants - Women,Applicants Total,Associates Deg,Bach Cohort Additional Exclusions - 200,Bach Cohort Exclusions - 150,Bach Cohort Still Enrolled - 200,Bach Deg,Bach Persist Number - 100,Bach Persist Number - 150 to 200,Bach Persist Number - 150,Bach Persist Number - 200,Bach Persist Percent - 100,Bach Persist Percent - 150,Bach Persist Percent - 200,Binary EF,Binary GR200,Binary IC,CALSYS,CBSATYPE,CBSA,CITY,CONF,CONTROL,CSA,c_p_Selected Admission Metric,Cert Cohort Additional Exclusions - 200,Cert Cohort Exclusions - 150,Cert Cohort Still Enrolled - 200,Cert Persist Number - 100,Cert Persist Number - 150 to 200,Cert Persist Number - 150,Cert Persist Number - 200,Cert Persist Percent - 100,Cert Persist Percent - 200,Cert Persist Percent 150,Current Year Cohort Percent of Entering Class,Doctors Deg - Other,Doctors Deg - Research/Schol,Doctors Deg = Prof Practice,Employment Services,Enrolled - Men,Enrolled - Total,Enrolled - Women,Enrolled FT - Men,Enrolled FT - Women,Enrolled Full Time Total,Enrolled PT - Men,Enrolled PT - Women,Enrolled Part Time Total,Exclusions from Full Time Prev Year Cohort,Exclusions from PT Prev Year Cohort,FIPS,FT First Time UG,FT Prev Year Cohort,HOSPITAL,Historically Black,INSTCAT,INSTNM,INSTSIZE,LANDGRNT,Latitude,Less Than 1Yr Cert,Level,Longitude,MEDICAL,Masters Deg,No Services,Number of Records,OBEREG,OPEFLAG,OPENADMP,On-Campus Daycare,One but Less Than 2Yr Cert,Other Deg,PSET4FLG,PT Adjusted Prev Year Cohort,PT Prev Year Cohort,Phone,Placement Services,Post-Masters Deg,Postbacc Cert,Recommendations,Remedial Services,Retention Number - FT,Retention Number - PT,Retention Percent - FT,Retention Percent - PT,Revised Bach Cohort,Revised Cert Cohort,SATMT25,SATMT75,SATNUM,SATPCT,SATVR25,SATVR75,SATWR25,SATWR75,STABBR,Secondary School GPA,Secondary School Rank,Secondary School Record,Student/Faculty Ratio,TRIBAL,Total Entering Undergrad,Two but Less Than 4Yr Cert,UNITID,Urbanization,WEBADDR,YEAR,ZIP
31,34,31,35,32,35,1686,80,8,10,1106,633 Clark St,www.northwestern.edu/admissions/,1,1914,1914,,,,1,2732,2843,5575,,14705,16221,30926,0,0,1,2,1,1652,12,1806,1818,86,94,95,1,1,1,2,1,16980,Evanston,Big Ten,2,176,2732,,,,,,,,,,,85,0,1,1,1,1028,2107,1079,1028,1079,2107,0,0,0,1,,17,2037,2107,2,2,2,Northwestern University,5,2,42.058377,0,1,-87.673653,1,1,0,1,3,1,2,0,1,0,1,2106,,8474913741,1,1,1,1,0,2031,,96,,1915,,700,780,1370,65,680,760,680,770,IL,1,2,1,7,2,2397,0,147767,13,www.northwestern.edu,2012,60208
22,28,22,28,21,28,4685,93,.,.,1320,3410 Beardshear Hall,www.admissions.iastate.edu/,1,3666,3661,,,21,1,6672,5869,12541,ISU,7922,6618,14540,0,5,8,25,1,1348,70,2580,2650,37,70,72,1,1,1,1,1,11180,Ames,Big 12,1,218,6672,,,,,,,,,,,71,0,1,1,1,2789,5048,2259,2777,2249,5026,12,10,22,0,0,19,5354,5023,2,2,2,Iowa State University,5,1,42.026368,0,1,-93.648353,1,1,0,1,4,1,2,1,0,0,1,5023,21,5152945836,1,1,1,3,1,4309,11,86,52,3674,,520,660,475,9,480,630,.,.,IA,1,1,1,18,2,7582,0,153603,13,www.iastate.edu,2012,50011-2030
22,28,22,28,22,28,4054,91,.,.,1356,101 Jessup Hall,admissions.uiowa.edu,1,3982,3982,,,132,1,6762,8478,15240,Iowa|UI,9126,10304,19430,0,0,0,45,1,1759,75,2770,2845,44,70,71,1,1,1,1,1,26980,Iowa City,Big Ten,1,168,6762,,,,,,,,,,,69,0,1,1,1,2065,4470,2405,1976,2317,4293,89,88,177,0,0,19,4293,4433,1,2,2,University of Iowa,5,2,41.660695,0,1,-91.535698,1,1,0,1,4,1,2,1,0,0,1,4433,132,3193353500,1,1,1,3,0,3791,106,86,80,3982,,550,690,358,8,470,630,490,610,IA,2,2,1,16,2,6207,1,153658,13,www.uiowa.edu,2012,52242-1316
21,25,20,25,19,25,1674,98,.,.,1322,1227 W 27th St,www.uni.edu/admissions/,1,1652,1652,,,39,1,1333,2017,3350,UNI |Panthers |Northern Iowa,1763,2559,4322,0,0,0,8,1,581,16,1107,1123,35,67,68,1,1,1,1,1,47940,Cedar Falls,Missouri Valley,1,-2,1333,,,,,,,,,,,60,1,0,0,1,638,1704,1066,625,1053,1678,13,13,26,0,0,19,1678,1897,2,2,2,University of Northern Iowa,4,2,42.514923,0,1,-92.459703,2,1,0,1,4,1,2,1,0,0,1,1897,39,3192732311,1,0,0,3,1,1543,19,81,49,1652,,460,520,53,3,.,.,.,.,IA,1,1,1,16,2,2789,0,154095,13,www.uni.edu,2012,50614-0005
22,29,21,29,22,28,3702,94,.,.,2482,14th and R St,admissions.unl.edu/,1,3236,3236,,,37,1,3446,3216,6662,,5035,5315,10350,1,0,2,61,1,950,140,2078,2218,29,64,69,1,1,1,1,1,30700,Lincoln,Big Ten,1,339,3446,,,,,,,,,,,79,0,1,1,1,2079,3937,1858,2063,1855,3918,16,3,19,0,0,31,3918,4056,2,2,2,University of Nebraska-Lincoln,5,1,40.822272,0,1,-96.702177,2,1,0,1,4,1,2,1,0,0,1,4056,37,4024727211,1,1,0,3,0,3405,22,84,59,3238,,540,680,317,8,510,660,.,.,NE,3,1,1,20,2,4967,0,181464,11,www.unl.edu/,2012,68588
26,30,25,32,26,31,6070,84,7,8,3312,190 N. Oval Mall,www.osu.edu/futurestudents/,1,6031,6031,,,15,1,8174,8347,16521,,12762,13054,25816,0,0,6,25,1,2930,113,4710,4823,49,78,80,1,1,1,1,1,18140,Columbus,Big Ten,1,198,8174,,,,,,,,,,,71,0,1,1,1,3699,7215,3516,3695,3509,7204,4,7,11,0,0,39,7204,7074,1,2,2,Ohio State University-Main Campus,5,1,39.998389,0,1,-83.009001,1,1,0,1,3,1,2,1,0,0,1,7074,15,6142926446,1,1,1,1,1,6481,8,92,53,6037,,610,710,2945,41,540,650,550,650,OH,2,1,1,19,2,10109,0,204796,11,www.osu.edu,2012,43210
31,33,32,35,30,35,1351,64,8,10,1106,633 Clark St,www.northwestern.edu/admissions/,1,1941,1941,,,,1,3021,3346,6367,,12822,14706,27528,0,0,0,1,1,1694,8,1847,1855,87,95,96,1,1,1,2,1,16980,Evanston,Big Ten,2,176,3021,,,,,,,,,,,88,0,1,1,1,1001,2127,1126,1001,1126,2127,0,0,0,0,,17,2107,2128,2,2,2,Northwestern University,5,2,42.058377,0,1,-87.673653,1,1,0,1,3,1,2,0,1,0,1,2128,,8474913741,1,1,1,1,0,2059,,97,,1941,,700,780,1421,67,680,750,680,770,IL,1,2,1,7,2,2408,0,147767,13,www.northwestern.edu,2011,60208
22,28,21,28,22,28,4221,93,.,.,1320,3410 Beardshear Hall,www.admissions.iastate.edu/,1,3831,3841,,,18,1,6166,5969,12135,ISU,7797,7269,15066,0,-10,29,31,1,1364,61,2676,2737,36,70,71,1,1,1,1,1,11180,Ames,Big 12,1,112,6166,,,,,,,,,,,70,0,1,1,1,2467,4552,2085,2450,2078,4528,17,7,24,0,0,19,5026,4532,2,2,2,Iowa State University,5,1,42.026368,0,1,-93.648353,1,1,0,1,4,1,2,1,0,0,1,4532,18,5152945836,1,0,1,3,1,3976,12,88,67,3860,,530,670,414,9,460,640,.,.,IA,1,1,1,18,2,7177,0,153603,13,www.iastate.edu,2011,50011-2030
23,28,22,28,23,28,4078,89,.,.,1356,101 Jessup Hall,www.uiowa.edu/admissions/,1,4014,4014,,,100,1,6855,8250,15105,Iowa|UI,9001,9938,18939,0,0,0,31,1,1673,66,2750,2816,42,69,70,1,1,1,1,1,26980,Iowa City,Big Ten,1,-2,6855,,,,,,,,,,,69,0,1,1,1,2108,4565,2457,2032,2401,4433,76,56,132,0,0,19,4433,4457,1,2,2,University of Iowa,5,2,41.660695,0,1,-91.535698,1,1,0,1,4,1,2,1,0,0,1,4457,100,3193353500,1,1,1,3,0,3814,86,86,86,4014,,540,685,395,9,450,630,.,.,IA,2,2,1,16,2,6447,1,153658,13,www.uiowa.edu,2011,52242-1316
21,26,19,25,18,25,1897,98,.,.,1322,1222 W 27th St,www.uni.edu/admissions/,1,1739,1739,,,28,1,1444,2163,3607,UNI |Panthers |Northern Iowa,1967,2699,4666,0,0,1,13,1,613,27,1157,1184,35,67,68,1,1,1,1,1,47940,Cedar Falls,Missouri Valley,1,-2,1444,,,,,,,,,,,61,1,0,0,1,739,1942,1203,712,1175,1887,27,28,55,0,0,19,1898,1934,2,2,2,University of Northern Iowa,4,2,42.514923,0,1,-92.459703,2,1,0,1,4,1,2,1,0,0,1,1934,28,3192732311,1,0,0,3,1,1586,17,82,61,1740,,.,.,0,0,.,.,.,.,IA,1,1,1,16,2,3106,0,154095,13,www.uni.edu,2011,50614-0005
22,28,22,29,22,28,3877,95,.,.,2482,14th and R St,admissions.unl.edu/,1,3639,3638,,,36,1,2787,3156,5943,,4807,5215,10022,1,1,2,78,1,904,116,2298,2414,25,63,66,1,1,1,1,1,30700,Lincoln,Big Ten,1,-2,2787,,,,,,,,,,,79,0,1,1,1,2082,4093,2011,2064,1992,4056,18,19,37,0,0,31,4056,4039,2,2,2,University of Nebraska-Lincoln,5,1,40.822272,0,1,-96.702177,2,1,0,1,4,1,2,1,0,0,1,4039,36,4024727211,1,1,0,3,0,3378,17,84,47,3641,,520,670,346,8,510,660,.,.,NE,3,1,1,21,2,5126,0,181464,11,www.unl.edu/,2011,68588
26,30,25,31,26,31,6057,85,7,8,3312,190 N. Oval Mall,www.osu.edu/futurestudents/,1,6347,6347,,,18,1,8093,8425,16518,,12991,13109,26100,0,0,7,43,1,2938,138,4756,4894,46,75,77,1,1,1,2,1,18140,Columbus,Big Ten,1,198,8093,,,,,,,,,,,70,0,1,1,1,3567,7089,3522,3560,3514,7074,7,8,15,0,0,39,7074,6654,1,2,2,Ohio State University-Main Campus,5,1,39.998389,0,1,-83.009001,1,1,0,1,3,1,2,1,0,0,1,6654,18,6142926446,1,1,1,2,1,6177,11,93,61,6354,,600,700,2996,42,540,660,550,650,OH,2,1,1,19,2,10060,0,204796,11,www.osu.edu,2011,43210
30,33,31,34,29,35,1115,54,8,10,1106,633 Clark St,www.northwestern.edu/admissions/,1,1947,1947,,,0,1,3187,3365,6553,,11415,13598,25013,0,0,1,,1,1682,7,1809,1816,86,93,93,1,1,1,2,1,16980,Evanston,Big Ten,2,176,3187,,,,,,,,,,,84,0,1,1,1,1006,2078,1072,1006,1072,2078,0,0,0,0,0,17,2128,2078,2,2,2,Northwestern University,4,2,42.049446,0,1,-87.678086,1,1,0,1,3,1,2,0,1,0,1,2078,0,8474913741,1,1,0,1,0,2008,0,97,,1948,,690,780,1663,80,670,750,670,750,IL,1,2,1,7,2,2528,0,147767,13,www.northwestern.edu,2009,60208
22,28,21,28,22,28,4185,92,.,.,1320,,www.admissions.iastate.edu/,1,4589,4589,,,12,1,5654,5299,10953,ISU,6591,5958,12549,0,0,10,,1,1463,99,3019,3118,32,66,68,1,1,1,1,1,11180,Ames,Big 12,1,112,5654,,,,,,,,,,,65,0,1,1,1,2461,4546,2085,2394,2030,4424,67,55,122,0,0,19,4310,4528,2,2,2,Iowa State University,5,1,42.026375,0,1,-93.648362,1,1,0,1,4,1,2,1,0,0,1,4528,12,5152945836,1,0,0,3,1,3804,6,84,50,4599,,550,680,557,12,490,650,.,.,IA,1,1,1,16,2,6640,0,153603,13,www.iastate.edu,2009,50011-2030
23,28,22,28,22,28,3786,93,.,.,1356,101 Jessup Hall,www.uiowa.edu/admissions/,1,3930,3930,,,64,1,5502,7001,12503,Iowa|UI,6897,8163,15060,0,0,0,,1,1556,73,2588,2661,40,66,68,1,1,1,1,1,26980,Iowa City,Big Ten,1,-2,5502,,,,,,,,,,,70,0,1,1,1,1877,4063,2186,1849,2155,4004,28,31,59,0,0,19,4004,4182,1,2,2,University of Iowa,5,2,41.661415,0,1,-91.536851,1,1,0,1,4,1,2,1,0,0,1,4182,64,3193353500,1,1,1,3,0,3470,53,83,83,3930,,560,690,364,9,500,640,.,.,IA,1,1,1,15,2,5712,1,153658,13,www.uiowa.edu,2009,52242-1316
21,26,20,26,20,26,1914,99,.,.,1322,1222 W 27th St,www.uni.edu/admissions/,1,2055,2055,,,29,1,1379,2126,3505,UNI |Panthers |Northern Iowa,1683,2450,4133,0,0,9,,1,665,36,1340,1376,32,65,67,1,1,1,1,1,47940,Cedar Falls,Missouri Valley,1,-2,1379,,,,,,,,,,,62,1,0,0,1,737,1946,1209,721,1200,1921,16,9,25,0,0,19,1921,1976,2,2,2,University of Northern Iowa,4,2,42.513039,0,1,-92.4572,2,1,0,1,4,1,2,1,0,0,1,1976,29,3192732311,1,0,0,3,1,1627,19,82,66,2064,,470,660,26,1,440,610,.,.,IA,1,1,1,17,2,3101,0,154095,13,www.uni.edu,2009,50614
22,29,21,29,21,28,3776,95,.,.,2482,14th and R St,admissions.unl.edu/,1,3480,3480,,,34,1,2909,3034,5943,,4639,4816,9455,1,0,2,,1,788,127,2206,2333,23,63,67,1,1,1,1,1,30700,Lincoln,Big Ten,1,-2,2909,,,,,,,,,,,79,0,1,1,1,2110,3986,1876,2095,1870,3965,15,6,21,0,0,31,3965,4166,2,2,2,University of Nebraska-Lincoln,5,1,40.81968,0,1,-96.703477,2,1,0,1,4,1,2,1,0,0,1,4166,34,4024727211,1,1,0,3,0,3494,18,84,53,3482,,530,680,402,10,510,670,.,.,NE,3,1,1,17,2,4994,0,181464,11,www.unl.edu/,2009,68588
25,30,25,31,25,30,5818,86,7,9,3312,190 N. Oval Mall,www.osu.edu/futurestudents/,1,5955,5954,,,20,1,7090,6750,13840,,11080,10250,21330,1,1,9,,1,2381,152,4250,4402,40,71,74,1,1,1,2,1,18140,Columbus,Big Ten,1,198,7090,,,,,,,,,,,72,0,1,1,1,3493,6739,3246,3443,3202,6645,50,44,94,0,0,39,6727,6153,1,2,2,Ohio State University-Main Campus,5,1,39.999794,0,1,-83.009751,1,1,0,1,3,1,2,1,0,0,1,6153,20,6142926446,1,1,1,2,1,5691,16,92,80,5964,,580,690,3457,51,540,650,540,640,OH,2,1,1,15,2,9317,0,204796,11,www.osu.edu,2009,43210
30,34,30,35,29,34,1110,56,8,10,1106,633 Clark St,www.northwestern.edu/admissions/,1,1876,1876,,,0,1,2846,3026,5872,,10013,11917,21930,0,0,0,,1,1612,10,1740,1750,86,93,93,1,1,1,2,1,16980,Evanston,Big Ten,2,176,2846,,,,,,,,,,,94,-2,-2,-2,1,925,1981,1056,925,1056,1981,0,0,0,2,0,17,2078,1981,2,2,2,Northwestern University,4,2,,0,1,,1,1,0,1,3,1,2,0,1,0,1,1979,0,3124913741,1,1,0,1,0,1919,0,97,,1876,,680,770,1574,80,670,750,660,750,IL,1,2,1,,2,2206,0,147767,13,www.northwestern.edu,2008,60208
22,27,21,27,22,28,4116,95,,,1320,,www.admissions.iastate.edu/,1,4282,4275,,,13,1,5118,4714,9832,,5815,5243,11058,0,7,7,,1,1340,77,2823,2900,31,66,68,1,1,1,1,1,11180,Ames,Big 12,1,112,5118,,,,,,,,,,,70,-2,-2,-2,1,4335,4347,12,2411,7,2418,1924,5,1929,1,0,19,4370,4315,2,2,2,Iowa State University,5,1,,0,1,,1,1,0,1,4,1,2,1,0,0,1,4314,13,5152945836,1,0,0,3,1,3604,7,84,54,4289,,530,680,486,11,510,640,,,IA,1,1,1,,2,6264,0,153603,13,www.iastate.edu,2008,50011-2030
23,28,22,28,22,28,4002,95,,,1356,101 Jessup Hall,www.uiowa.edu/admissions/,1,3649,3649,,,34,1,5761,7066,12827,Iowa|UI,7264,8318,15582,0,0,0,,1,1442,68,2389,2457,40,65,67,1,1,1,1,1,26980,Iowa City,Big Ten,1,-2,5761,,,,,,,,,,,73,-2,-2,-2,1,2024,4246,2222,1990,2192,4182,34,30,64,0,0,19,4182,4253,1,2,2,University of Iowa,5,2,,0,1,,1,1,0,1,4,1,2,1,0,0,1,4253,34,3193353500,1,1,1,3,0,3536,25,83,74,3649,,560,680,362,9,510,660,,,IA,2,2,1,,2,5760,1,153658,13,www.uiowa.edu,2008,52242-1316
21,26,20,25,19,25,1989,99,,,1322,1222 W 27th St,www.uni.edu/admissions/,1,2218,2218,,,57,1,1543,2385,3928,UNI |Panthers |Northern Iowa,1887,2697,4584,0,0,0,,1,751,44,1489,1533,34,67,69,1,1,1,1,1,16300,Cedar Falls,Missouri Valley,1,-2,1543,,,,,,,,,,,65,-2,-2,-2,1,788,2015,1227,771,1215,1986,17,12,29,0,0,19,1986,1934,2,2,2,University of Northern Iowa,4,2,,0,1,,2,1,0,1,4,1,2,1,0,0,1,1934,57,3192732311,1,0,0,3,1,1608,38,83,67,2218,,441,591,51,3,461,580,,,IA,1,1,1,,2,3067,0,154095,12,www.uni.edu,2008,50614
22,28,21,28,21,28,3969,95,,,2482,14th and R St,admissions.unl.edu/,1,3598,3598,,,20,1,2955,3167,6122,,4746,4963,9709,1,0,7,,1,823,117,2237,2354,23,62,65,1,1,1,1,1,30700,Lincoln,Big Ten,1,-2,2955,,,,,,,,,,,81,0,1,1,1,2174,4200,2026,2151,2015,4166,23,11,34,0,0,31,4166,4215,2,2,2,University of Nebraska-Lincoln,5,1,,0,1,,2,1,0,1,4,1,2,1,0,0,1,4215,20,4024727211,1,1,0,3,0,3521,11,84,55,3605,,530,670,491,12,510,670,,,NE,3,1,1,,2,5157,0,181464,12,www.unl.edu/,2008,68588
25,30,24,30,25,30,5277,85,,,3312,190 N. Oval Mall,www.osu.edu/futurestudents/,1,5831,5831,,,8,1,6484,6557,13041,,10718,10214,20932,1,0,6,,1,2282,127,4148,4275,39,71,73,1,1,1,2,1,18140,Columbus,Big Ten,1,198,6484,,,,,,,,,,,72,0,1,1,1,3093,6173,3080,3084,3069,6153,9,11,20,2,0,39,6153,6160,1,2,2,Ohio State University-Main Campus,5,1,,0,1,,1,1,0,1,3,1,2,1,0,0,1,6158,8,6142926446,1,1,1,2,1,5717,6,93,75,5837,,590,680,3284,53,540,650,,,OH,2,1,1,,2,8544,0,204796,11,www.osu.edu,2008,43210
31,33,31,35,29,34,1327,62,8,10,1106,633 Clark St,www.northwestern.edu/admissions/,1,2000,2000,,,0,1,3378,3509,6887,,11610,13759,25369,0,0,5,,1,1725,10,1870,1880,86,94,94,1,1,1,2,1,16980,Evanston,Big Ten,2,176,3378,,,,,,,,,0,,89,0,1,1,1,1054,2128,1074,1054,1074,2128,0,0,0,0,0,17,2128,2128,2,2,2,Northwestern University,5,2,42.049648,0,1,-87.678643,1,1,0,1,3,1,2,0,1,0,1,2128,0,8474913741,1,1,0,1,0,2034,0,96,,2005,,690,780,1594,75,670,750,670,760,IL,1,2,1,7,2,2399,0,147767,13,www.northwestern.edu,2010,60208
22,28,21,28,22,28,4071,93,.,.,1320,3410 Beardshear Hall,www.admissions.iastate.edu/,1,4164,4162,,,18,1,5478,5184,10662,ISU,6573,5963,12536,0,2,3,,1,1399,49,2823,2872,34,68,69,1,1,1,1,1,11180,Ames,Big 12,1,112,5478,,,,,,,,,0,,69,0,1,1,1,2366,4356,1990,2353,1979,4332,13,11,24,0,0,19,4534,4320,2,2,2,Iowa State University,5,1,42.026368,0,1,-93.648353,1,1,0,1,4,1,2,1,0,0,1,4320,18,5152945836,1,0,0,3,1,3720,12,86,67,4167,,540,690,429,10,490,640,.,.,IA,1,1,1,17,2,6593,0,153603,13,www.iastate.edu,2010,50011-2030
23,28,22,28,22,28,4148,95,.,.,1356,101 Jessup Hall,www.uiowa.edu/admissions/,1,4097,4097,,,59,1,6519,7915,14434,Iowa|UI,8056,9164,17220,0,0,0,,1,1658,81,2706,2787,40,66,68,1,1,1,1,1,26980,Iowa City,Big Ten,1,-2,6519,,,,,,,,,0,,72,0,1,1,1,2099,4557,2458,2053,2404,4457,46,54,100,0,0,19,4457,4004,1,2,2,University of Iowa,5,2,41.661383,0,1,-91.536806,1,1,0,1,4,1,2,1,0,0,1,4004,59,3193353500,1,1,1,3,0,3455,49,86,83,4097,,560,700,366,8,460,640,.,.,IA,2,2,1,16,2,6226,1,153658,13,www.uiowa.edu,2010,52242-1316
21,25,19,25,20,26,1934,98,.,.,1322,1222 W 27th St,www.uni.edu/admissions/,1,1821,1821,,,25,1,1324,2085,3409,UNI |Panthers |Northern Iowa,1680,2412,4092,0,0,1,,1,610,31,1147,1178,34,63,65,1,1,1,1,1,47940,Cedar Falls,Missouri Valley,1,-2,1324,,,,,,,,,0,,61,1,0,0,1,744,1978,1234,723,1219,1942,21,15,36,0,0,19,1942,1917,2,2,2,University of Northern Iowa,4,2,42.513029,0,1,-92.457152,2,1,0,1,4,1,2,1,0,0,1,1917,25,3192732311,1,0,0,3,1,1582,12,83,48,1822,,483,600,34,2,468,618,.,.,IA,1,1,1,17,2,3196,0,154095,13,www.uni.edu,2010,50614-0005
22,28,21,29,22,28,3861,95,.,.,2482,14th and R St,admissions.unl.edu/,1,3615,3615,,,21,1,3129,2960,6089,,4976,4792,9768,1,0,2,,1,919,135,2304,2439,25,64,67,1,1,1,1,1,30700,Lincoln,Big Ten,1,-2,3129,,,,,,,,,0,,79,0,1,1,1,2170,4075,1905,2150,1889,4039,20,16,36,0,0,31,4039,3965,2,2,2,University of Nebraska-Lincoln,5,1,40.816933,0,1,-96.701132,2,1,0,1,4,1,2,1,0,0,1,3965,21,4024727211,1,1,0,3,0,3348,13,84,62,3617,,530,670,326,8,510,650,.,.,NE,3,1,1,20,2,5096,0,181464,11,www.unl.edu/,2010,68588
26,30,25,31,25,31,5613,84,7,9,3312,190 N. Oval Mall,www.osu.edu/futurestudents/,1,5936,5936,,,12,1,8177,8395,16572,,13543,13221,26764,0,0,4,,1,2511,132,4316,4448,42,73,75,1,1,1,2,1,18140,Columbus,Big Ten,1,198,8177,,,,,,,,,0,,70,0,1,1,1,3345,6672,3327,3335,3319,6654,10,8,18,1,0,39,6654,6727,1,2,2,Ohio State University-Main Campus,5,1,39.999811,0,1,-83.009685,1,1,0,1,3,1,2,1,0,0,1,6726,12,6142926446,1,1,1,2,1,6241,10,93,83,5940,,590,700,3055,46,540,650,540,640,OH,2,1,1,19,2,9514,0,204796,11,www.osu.edu,2010,43210
